display  D   display_settings.c:377  _al_score_display_settings       [   0.08858] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08862] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08863] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08865] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08867] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08869] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08871] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08874] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08876] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08878] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08880] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08884] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08885] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08887] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08891] Single Buffer requirement not met.
